Data retrieved: 06/12/2017 @ 07:29:09,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1583G100-14J0255............,,,,,,,,,,,,,,
MODULE 1,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1629-0M5-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,1,75396,803830,4782966,689966,15594,0,0,,6367753
CELL 2,0,0,0,0,0,39448,789868,4901459,633772,3206,0,0,,6367753
CELL 3,0,0,0,0,1,107445,814851,4695240,714575,35641,0,0,,6367753
CELL 4,0,0,0,0,0,44753,794427,4881053,643461,4059,0,0,,6367753
CELL 5,0,0,0,0,1,110815,816237,4685340,717166,38194,0,0,,6367753
CELL 6,0,0,0,0,0,47075,796249,4871504,648280,4645,0,0,,6367753
CELL 7,0,0,0,0,1,109917,815541,4687465,717152,37677,0,0,,6367753
CELL 8,0,0,0,0,0,37684,787583,4908465,631272,2749,0,0,,6367753
CELL 9,0,0,0,0,1,101184,811155,4713990,710058,31365,0,0,,6367753
CELL 10,0,0,0,0,0,38714,788664,4904861,632632,2882,0,0,,6367753
CELL 11,0,0,0,0,0,47725,796002,4869783,649454,4789,0,0,,6367753
CELL 12,0,0,0,0,1,87213,810604,4744768,704059,21108,0,0,,6367753
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 2,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1608-0SB-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,1,114958,1384677,8026892,1180951,34688,0,0,,10742167
CELL 2,0,0,0,0,0,57424,1343854,8252529,1081573,6787,0,0,,10742167
CELL 3,0,0,0,0,1,148398,1393677,7937636,1201617,60838,0,0,,10742167
CELL 4,0,0,0,0,0,48033,1331287,8298526,1059917,4404,0,0,,10742167
CELL 5,0,0,0,0,1,151543,1393847,7931545,1201850,63381,0,0,,10742167
CELL 6,0,0,0,0,0,48392,1332473,8292753,1063986,4563,0,0,,10742167
CELL 7,0,0,0,0,1,153129,1394998,7924528,1204889,64622,0,0,,10742167
CELL 8,0,0,0,0,0,50098,1334133,8284916,1068291,4729,0,0,,10742167
CELL 9,0,0,0,0,1,149925,1393316,7933698,1202710,62517,0,0,,10742167
CELL 10,0,0,0,0,0,45544,1327844,8307112,1057509,4158,0,0,,10742167
CELL 11,0,0,0,0,0,46955,1329783,8298730,1061797,4902,0,0,,10742167
CELL 12,0,0,0,0,0,95858,1372418,8089530,1159843,24518,0,0,,10742167
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 3,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K2146..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,9364,2554,3109,4774,23570,693611,3076149,20885425,2856046,370644,13,0,,27925259
CELL 2,10816,2537,3220,4793,15325,553585,3116460,21167442,2811005,240073,3,0,,27925259
CELL 3,8571,2337,2786,4497,35756,807172,3061727,20644842,2865768,491676,127,0,,27925259
CELL 4,10584,2468,3204,4565,14842,550719,3115507,21173094,2807827,242446,3,0,,27925259
CELL 5,8706,2393,2842,4528,43326,833170,3058688,20580336,2867817,523118,335,0,,27925259
CELL 6,10248,2415,3160,4584,20771,605948,3115739,21039071,2824387,298887,49,0,,27925259
CELL 7,9904,2467,3167,4578,41912,827258,3057608,20593729,2867410,516969,257,0,,27925259
CELL 8,11901,2613,3341,4830,36319,651022,3114656,20917608,2824168,356580,2221,0,,27925259
CELL 9,9483,2438,3020,4573,45868,837887,3056020,20561043,2870321,534176,430,0,,27925259
CELL 10,12255,2674,3580,6331,46726,669674,3125018,20851348,2821838,378990,6778,47,,27925259
CELL 11,13686,2763,3563,4870,22438,625073,3113316,21001286,2833047,305179,38,0,,27925259
CELL 12,9855,2472,3031,4796,44222,782864,3079693,20645157,2876477,476198,494,0,,27925259
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 4,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1633-0J7-402335-00710..!...,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,0,9759,213369,1047375,169048,1418,0,0,,1440969
CELL 2,0,0,0,0,0,2655,205659,1080510,152030,115,0,0,,1440969
CELL 3,0,0,0,0,0,16467,215909,1028471,175445,4677,0,0,,1440969
CELL 4,0,0,0,0,0,2233,204450,1083881,150334,71,0,0,,1440969
CELL 5,0,0,0,0,0,16112,215740,1029745,174987,4385,0,0,,1440969
CELL 6,0,0,0,0,0,1961,203245,1086583,149126,54,0,0,,1440969
CELL 7,0,0,0,0,0,15760,215579,1030655,174788,4187,0,0,,1440969
CELL 8,0,0,0,0,0,1935,203088,1086812,149075,59,0,0,,1440969
CELL 9,0,0,0,0,0,15597,215332,1030962,174874,4204,0,0,,1440969
CELL 10,0,0,0,0,0,1958,203016,1087122,148807,66,0,0,,1440969
CELL 11,0,0,0,0,0,2515,204647,1082347,151342,118,0,0,,1440969
CELL 12,0,0,0,0,0,8902,212637,1050253,167918,1259,0,0,,1440969
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 5,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K2145..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,4356,2022,2536,4106,19664,668336,3091849,20916801,2849207,362697,24,0,,27921598
CELL 2,7024,2405,2868,4493,13966,540213,3122020,21186067,2804804,237736,2,0,,27921598
CELL 3,4670,2165,2676,4290,28659,771394,3069676,20721241,2856036,460724,67,0,,27921598
CELL 4,6819,2334,2842,4387,13842,534827,3125309,21192069,2799939,239223,7,0,,27921598
CELL 5,4701,2264,2823,4446,28682,768813,3070748,20733202,2851490,454378,51,0,,27921598
CELL 6,7821,2507,3112,4629,12809,514865,3118464,21247544,2789819,220027,1,0,,27921598
CELL 7,5346,2260,2773,4359,30154,781416,3068689,20704567,2854343,467625,66,0,,27921598
CELL 8,8949,2604,3167,4279,13742,547285,3116507,21173732,2803728,247604,1,0,,27921598
CELL 9,4782,2236,2754,4372,31289,787331,3067589,20687818,2857461,475896,70,0,,27921598
CELL 10,7856,2454,2993,4506,14262,545801,3120070,21176823,2803289,243541,3,0,,27921598
CELL 11,9056,2527,3177,4679,16880,580553,3119230,21098886,2817388,269215,7,0,,27921598
CELL 12,4486,2120,2644,4179,25502,695560,3093317,20849185,2857589,386965,51,0,,27921598
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 6,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K2143..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,6133,2382,2926,4541,26396,707811,3080530,20835932,2862534,389090,30,0,,27918305
CELL 2,8922,2557,3134,5019,15934,559903,3119859,21154813,2807899,240263,2,0,,27918305
CELL 3,6278,2349,2851,4568,33998,800968,3061729,20666751,2862419,476319,75,0,,27918305
CELL 4,8391,2460,3037,4733,14479,547837,3117892,21185393,2799483,234599,1,0,,27918305
CELL 5,6096,2369,2872,4532,31358,788287,3062756,20699909,2857170,462910,46,0,,27918305
CELL 6,8976,2575,3277,4945,15231,554558,3121622,21168421,2800249,238450,1,0,,27918305
CELL 7,8671,2511,3153,4880,35048,808811,3064289,20646815,2858938,485069,120,0,,27918305
CELL 8,11776,2679,3485,4827,13727,530810,3118264,21217479,2791867,223390,1,0,,27918305
CELL 9,8506,2447,2996,4746,35869,812046,3063415,20633703,2862125,492283,169,0,,27918305
CELL 10,11568,2881,3738,5211,16066,550502,3127865,21171027,2795596,233849,2,0,,27918305
CELL 11,12799,2918,3809,5141,16152,558626,3124724,21159639,2799474,235021,2,0,,27918305
CELL 12,8449,2487,3071,4960,24253,697873,3089483,20855990,2856947,374755,37,0,,27918305
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 7,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1633-0J6-402335-00710..!...,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,0,9022,211894,1049964,168770,1303,0,0,,1440953
CELL 2,0,0,0,0,0,2229,203284,1084327,151025,88,0,0,,1440953
CELL 3,0,0,0,0,0,15142,214546,1032152,175126,3987,0,0,,1440953
CELL 4,0,0,0,0,0,2344,203684,1083101,151746,78,0,0,,1440953
CELL 5,0,0,0,0,0,15210,214425,1031968,175292,4058,0,0,,1440953
CELL 6,0,0,0,0,0,2330,203698,1082749,152104,72,0,0,,1440953
CELL 7,0,0,0,0,0,15404,214526,1031469,175425,4129,0,0,,1440953
CELL 8,0,0,0,0,0,2157,203238,1084033,151465,60,0,0,,1440953
CELL 9,0,0,0,0,0,15011,214255,1032452,175345,3890,0,0,,1440953
CELL 10,0,0,0,0,0,2603,204468,1080750,153042,90,0,0,,1440953
CELL 11,0,0,0,0,0,3251,206079,1076084,155384,155,0,0,,1440953
CELL 12,0,0,0,0,0,10228,212551,1045709,170822,1643,0,0,,1440953
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 8,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1632-0NZ-402335-00710.. ...,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,0,10478,213339,1044836,170603,1687,0,0,,1440943
CELL 2,0,0,0,0,0,2902,205977,1078505,153445,114,0,0,,1440943
CELL 3,0,0,0,0,0,14974,215040,1032536,174730,3663,0,0,,1440943
CELL 4,0,0,0,0,0,2046,203427,1085450,149968,52,0,0,,1440943
CELL 5,0,0,0,0,0,14194,214609,1034836,174083,3221,0,0,,1440943
CELL 6,0,0,0,0,0,2191,204001,1083947,150746,58,0,0,,1440943
CELL 7,0,0,0,0,0,14401,214643,1034182,174375,3342,0,0,,1440943
CELL 8,0,0,0,0,0,1859,202509,1087395,149130,50,0,0,,1440943
CELL 9,0,0,0,0,0,14429,214331,1034236,174483,3464,0,0,,1440943
CELL 10,0,0,0,0,0,1824,202110,1088460,148503,46,0,0,,1440943
CELL 11,0,0,0,0,0,2222,203444,1084576,150622,79,0,0,,1440943
CELL 12,0,0,0,0,0,8668,211829,1051015,168230,1201,0,0,,1440943
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 9,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K2141..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,6939,2632,3215,4863,27042,710109,3080090,20821908,2868715,399798,63,0,,27925374
CELL 2,9972,2614,3380,4675,14573,538519,3113258,21194404,2811441,232536,2,0,,27925374
CELL 3,6989,2541,3036,4731,35423,805333,3059196,20646817,2868575,492590,143,0,,27925374
CELL 4,9317,2591,3268,4831,13657,525146,3110502,21231221,2801259,223581,1,0,,27925374
CELL 5,6765,2541,3029,4718,34215,802970,3058090,20659503,2865071,488367,105,0,,27925374
CELL 6,9614,2619,3445,4781,13429,527201,3108728,21232637,2800984,221935,1,0,,27925374
CELL 7,8023,2563,3069,4747,33993,809289,3052680,20656158,2865755,489019,78,0,,27925374
CELL 8,10834,2706,3474,4821,14896,559246,3106080,21159337,2814085,249893,2,0,,27925374
CELL 9,7159,2521,2970,4705,35874,817405,3050954,20633322,2868866,501497,101,0,,27925374
CELL 10,10458,2729,3557,5012,15610,561990,3110019,21156011,2814049,245938,1,0,,27925374
CELL 11,11274,2723,3577,5115,16416,571553,3109164,21134269,2819365,251916,2,0,,27925374
CELL 12,8139,2652,3118,4921,27346,711319,3077354,20833985,2867033,389486,21,0,,27925374
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 10,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1632-0NW-402335-00710.. ...,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,0,9587,213215,1047647,169128,1376,0,0,,1440953
CELL 2,0,0,0,0,0,2394,204785,1082662,151021,91,0,0,,1440953
CELL 3,0,0,0,0,0,15114,215333,1032077,174690,3739,0,0,,1440953
CELL 4,0,0,0,0,0,1685,202308,1089179,147741,40,0,0,,1440953
CELL 5,0,0,0,0,0,15061,215131,1032577,174440,3744,0,0,,1440953
CELL 6,0,0,0,0,0,1742,202424,1088407,148340,40,0,0,,1440953
CELL 7,0,0,0,0,0,14992,215192,1032667,174422,3680,0,0,,1440953
CELL 8,0,0,0,0,0,1907,202944,1086678,149373,51,0,0,,1440953
CELL 9,0,0,0,0,0,14274,214714,1034600,174020,3345,0,0,,1440953
CELL 10,0,0,0,0,0,1979,203319,1086443,149152,60,0,0,,1440953
CELL 11,0,0,0,0,0,2256,203821,1084426,150364,86,0,0,,1440953
CELL 12,0,0,0,0,0,8638,212379,1050830,167936,1170,0,0,,1440953
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 11,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K2139..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,6240,2600,3164,4447,30997,773345,3061350,20719254,2869582,446949,72,0,,27918000
CELL 2,9319,2747,3478,4894,16116,592727,3112613,21092723,2817439,265942,2,0,,27918000
CELL 3,7432,2613,3287,4566,44868,882675,3035845,20508266,2870617,557449,382,0,,27918000
CELL 4,9354,2646,3374,4717,14681,576897,3110150,21128640,2809565,257974,2,0,,27918000
CELL 5,7323,2533,3235,4478,36234,844088,3040889,20603229,2863646,512246,99,0,,27918000
CELL 6,8883,2656,3388,4728,16184,611752,3103475,21062422,2821087,283422,3,0,,27918000
CELL 7,8304,2621,3389,4760,45803,893091,3032390,20497465,2867177,562667,333,0,,27918000
CELL 8,10738,2869,3626,5156,16803,615978,3103654,21054258,2819160,285756,2,0,,27918000
CELL 9,7638,2688,3349,4666,43360,879417,3035458,20526587,2866582,548035,220,0,,27918000
CELL 10,10016,2765,3499,4967,18972,643117,3102259,20997912,2830290,304200,3,0,,27918000
CELL 11,11337,2786,3479,4970,19021,642247,3107872,20992154,2829624,304506,4,0,,27918000
CELL 12,7001,2651,3231,4587,31188,771799,3065344,20728613,2866871,436679,36,0,,27918000
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 12,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K2140..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,6082,2469,3212,4947,31775,755906,3069783,20752171,2868307,423862,25,0,,27918539
CELL 2,9251,2720,3578,5451,31719,679388,3112199,20887451,2839792,346640,350,0,,27918539
CELL 3,7772,2638,3277,5100,50279,876879,3047795,20501317,2870699,552246,537,0,,27918539
CELL 4,9861,2752,3704,5288,28464,661838,3112041,20927781,2830503,336026,281,0,,27918539
CELL 5,7682,2674,3222,5149,45378,864466,3047176,20531979,2866669,543800,344,0,,27918539
CELL 6,10749,2843,3786,5269,23480,645427,3114640,20967163,2827726,317413,43,0,,27918539
