CELL 7,0,20,41,61,221,172366,2725904,20056685,2848191,380371,0,0,,
CELL 7,0,17,38,57,141,122885,2657287,20266192,2837090,300062,0,0,,
CELL 2,7,30,47,62,75,10619,2227395,21200667,2692734,52372,0,0,,
CELL 9,0,23,42,62,191,162364,2698120,20115130,2839351,368447,0,0,,
CELL 12,2,26,44,63,122,59375,2513429,20598382,2830880,181547,0,0,,
CELL 5,2,24,41,60,146,125758,2651661,20262460,2837719,306010,0,0,,
CELL 12,0,19,39,57,165,59292,2534784,20559937,2841210,188377,1,0,,
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 15,,,,,,,,,,,,,,
Mfg Data (ASCII): 0A12-1346-01P-402335-00708......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,
CELL 1,0,0,0,0,110,60151,2166088,17457834,2836487,204485,1,0,,
CELL 2,11,30,46,55,85,15583,2296546,21062577,2738140,70791,0,0,,
CELL 3,11,31,46,55,158,143416,2687890,20174727,2841397,336133,0,0,,
CELL 4,5,27,44,64,66,12086,2254713,21144616,2714128,58021,0,0,,
CELL 5,7,29,45,62,133,144062,2681424,20188421,2837053,332534,0,0,,
CELL 6,2,24,42,60,76,11578,2243756,21165089,2708854,54289,0,0,,
CELL 8,4,26,43,63,74,10347,2221304,21210201,2693042,48666,0,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
