Data retrieved: 06/02/2017 @ 09:25:15,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1583G100-13L0052............,,,,,,,,,,,,,,
MODULE 1,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1429-03F-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,186,130838,1641274,8697437,1373131,90994,1,0,,11933861
CELL 2,0,0,0,0,37,55235,1613933,8927303,1313464,23889,0,0,,11933861
CELL 3,0,0,0,0,205,194970,1649779,8556580,1375960,156366,1,0,,11933861
CELL 4,0,0,0,0,15,61777,1618894,8906864,1320095,26216,0,0,,11933861
CELL 5,0,0,0,0,175,199086,1650581,8548164,1375592,160262,1,0,,11933861
CELL 6,0,0,0,0,15,61356,1618299,8908150,1320208,25833,0,0,,11933861
CELL 7,0,0,0,0,176,193421,1649934,8559494,1375675,155160,1,0,,11933861
CELL 8,0,0,0,0,14,50274,1607081,8950082,1306313,20097,0,0,,11933861
CELL 9,0,0,0,0,180,180316,1646032,8592776,1371966,142590,1,0,,11933861
CELL 10,0,0,0,0,27,51345,1609547,8944156,1308076,20710,0,0,,11933861
CELL 11,0,0,0,0,79,81961,1632642,8831850,1345651,41678,0,0,,11933861
CELL 12,0,0,0,0,192,159319,1648682,8624305,1383284,118078,1,0,,11933861
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 2,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1628-0BT-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,5,24360,417532,2683781,389610,20063,0,0,,3535351
CELL 2,0,0,0,0,0,4778,391956,2786544,349534,2539,0,0,,3535351
CELL 3,0,0,0,0,5,29755,419111,2669851,390836,25793,0,0,,3535351
CELL 4,0,0,0,0,0,3922,387460,2796874,345238,1857,0,0,,3535351
CELL 5,0,0,0,0,4,28814,418691,2673655,389379,24808,0,0,,3535351
CELL 6,0,0,0,0,0,4421,389777,2790531,348422,2200,0,0,,3535351
CELL 7,0,0,0,0,4,29593,418954,2670815,390458,25527,0,0,,3535351
CELL 8,0,0,0,0,0,4703,390967,2786936,350376,2369,0,0,,3535351
CELL 9,0,0,0,0,3,29323,418696,2671534,390421,25374,0,0,,3535351
CELL 10,0,0,0,0,0,4274,389088,2792158,347628,2203,0,0,,3535351
